n,date_et,case,category,outfit,timeframe,ticker,direction,status,source,outfit_from,post_id,thread
64,2025-06-12,38,Precision Buy,MA33 / MA66 / MA99 / MA333 / MA666 / MA999,3m,VXX,long,OK,text,linked post,1933222790502781333,threads/64_1933222790502781333/thread.md
65,2025-06-13,10,Hard Stop,MA50 / 10/50/200,,SQQQ,long,OK,text,linked post,1933520636426793325,threads/65_1933520636426793325/thread.md
66,2025-06-13,11,Hard Stop,MA16 / MA32 / MA64 / MA128 / MA256 / MA512,3m,SQQQ,long,OK,text,linked post,1933523365807206567,threads/66_1933523365807206567/thread.md
67,2025-06-13,39,Precision Buy,ould have waited for this one. REVERSAL outfit / MA180,,SQQQ,long,OK,text,linked post,1933558926118969700,threads/67_1933558926118969700/thread.md
68,2025-06-13,12,Hard Stop,SVIX EXT ON SVIX at 13.55 . 47 US Admin outfit / MA24 / MA47 / MA94 / MA188 / MA376 / MA752,,SVIX,long,OK,text,linked post,1933598128156123641,threads/68_1933598128156123641/thread.md
69,2025-06-23,40,Precision Buy,[MA24 MA48 MA96 MA192 MA384 MA768] / MA24 / MA48 / MA96 / MA192 / MA384 / MA768,,SVXY VIX,long,OK,text,linked post,1937196577145401345,threads/69_1937196577145401345/thread.md
70,2025-06-24,13,Hard Stop,MA31 MA63 MA125 MA250 MA500 Russia. 365 outfit / MA16 / MA31 / MA63 / MA125 / MA250 / MA500,,AAPL,long,OK,text,linked post,1937512126815641782,threads/70_1937512126815641782/thread.md
71,2025-06-25,14,Hard Stop,[MA23 MA46 MA92 MA184 MA368 MA736] / MA23 / MA46 / MA92 / MA184 / MA368 / MA736,,TSLT,long,OK,text,linked post,1937877644076622067,threads/71_1937877644076622067/thread.md
72,2025-06-26,16,Optimized Buy,MA33 MA66 MA99 MA333 MA666 MA999,30m,IYR,long,OK,text+image,,1938241569012015183,threads/72_1938241569012015183/thread.md
73,2025-06-30,15,Optimized Buy,MA19 MA37 MA73 MA143 MA279 MA548,20m,NVD,long,OK,text+image,,1939681230595006602,threads/73_1939681230595006602/thread.md
74,2025-07-01,41,Precision Buy,MA25 MA51 MA101 MA202 MA404 MA808,15m,NVDX,long,OK,text+image,,1940075634740666865,threads/74_1940075634740666865/thread.md
75,2025-07-03,17,Optimized Buy,MA27 MA53 MA105 MA210 MA420 MA840,1h,VXX,long,OK,text+image,,1940774997536264255,threads/75_1940774997536264255/thread.md
76,2025-07-06,4,Automated Short,MA420,2h,SVXY VXX,long,OK,text,linked post,1942033479023411515,threads/76_1942033479023411515/thread.md
77,2025-07-07,42,Precision Buy,MA27 MA53 MA105 MA210 MA420 MA840,1d,GME,,OK,image,,1942221360190943352,threads/77_1942221360190943352/thread.md
78,2025-07-09,18,Optimized Buy,SMA outfit,,RWM,long,OK,text,linked post,1942946413027242243,threads/78_1942946413027242243/thread.md
79,2025-07-09,43,Precision Buy,MA16 / MA32 / MA64 / MA256 / MA512 / MA128,1d,LABD,long,OK,text,linked post,1943035665417146734,threads/79_1943035665417146734/thread.md
80,2025-07-11,44,Precision Buy,MA25 MA50 MA100 MA200 MA400 MA800,10m,GGLL,long,OK,text+image,,1943674970741068045,threads/80_1943674970741068045/thread.md
81,2025-07-21,19,Optimized Buy,MA27 MA54 MA108 MA216 MA432 MA864,10m,VXX,long,OK,text+image,,1947314924121940314,threads/81_1947314924121940314/thread.md
82,2025-07-21,5,Automated Short,high frequency short operating on the outfit / [MA27 MA54 MA108 MA216 MA432 MA864] / MA27 / MA54 / MA108 / MA216 / MA432 / MA864,,SVIX,short,OK,text,linked post,1947315205622645048,threads/82_1947315205622645048/thread.md
83,2025-07-23,20,Optimized Buy,MA30 MA60 MA90 MA300 MA600 MA900,8m,SOXS,long,OK,text+image,,1948088844764741770,threads/83_1948088844764741770/thread.md
84,2025-07-23,21,Optimized Buy,MA30 / MA60 / MA90 / MA300 / MA600 / MA900,8m,SQQQ SOXS VXX,long,OK,text,linked post,1948099281543704984,threads/84_1948099281543704984/thread.md
85,2025-07-24,23,Optimized Buy,MA33 MA66 MA131 MA262 MA626 MA919,10m,SPXU SOXS,long,OK,text+image,,1948399995012686153,threads/85_1948399995012686153/thread.md
86,2025-07-25,24,Optimized Buy,MA30 MA60 MA90 MA300 MA600 MA900,8m,VXX SOXS,long,OK,text+image,,1948790338631729527,threads/86_1948790338631729527/thread.md
87,2025-07-28,22,Optimized Buy,MA25 MA50 MA100 MA200 MA400 MA600,30m,SDOW,long,OK,text+image,,1949835108959285454,threads/87_1949835108959285454/thread.md
88,2025-08-15,15,Hard Stop,MA25,30m,RWM,long,OK,text,linked post,1956390689404768587,threads/88_1956390689404768587/thread.md
