[2026-03-17T10:40:03.729788] TQQQ | precision_buy_algorithm | SMA57 | President 45 | 3M | critical | TQQQ PRECISION BUY SMA57 [President 45] 3M | PRECISION BUY — SMA 57 at 48.27 | OHLC4 48.27 (current bar) | Close 48.27 | Hard stop: 48.26 | Drawdown 1.0% from 48.76 | TF: 3M
[2026-03-17T10:42:04.500583] DDM | automated_short_order | SMA33 | EVIL (666) | 2M | critical | DDM AUTO SHORT SMA33 [EVIL (666)] 2M | AUTO SHORT — SMA 33 at 54.29 | OHLC4 54.29 (current bar) | Close 54.26 | Hard stop: 54.30 (penny above) | SYSTEM NEGATIVE | TF: 2M
[2026-03-17T10:42:04.561951] DDM | automated_short_order | SMA22 | LUCKY (777) | 2M | critical | DDM AUTO SHORT SMA22 [LUCKY (777)] 2M | AUTO SHORT — SMA 22 at 54.30 | OHLC4 54.29 (current bar) | Close 54.26 | Hard stop: 54.31 (penny above) | SYSTEM NEGATIVE | TF: 2M
[2026-03-17T10:42:04.612399] DDM | automated_short_order | SMA27 | Regression (432) | 2M | critical | DDM AUTO SHORT SMA27 [Regression (432)] 2M | AUTO SHORT — SMA 27 at 54.29 | OHLC4 54.29 (current bar) | Close 54.26 | Hard stop: 54.30 (penny above) | SYSTEM NEGATIVE | TF: 2M
[2026-03-17T10:42:04.646735] DDM | automated_short_order | SMA23 | Time (365) | 2M | critical | DDM AUTO SHORT SMA23 [Time (365)] 2M | AUTO SHORT — SMA 23 at 54.30 | OHLC4 54.29 (current bar) | Close 54.26 | Hard stop: 54.31 (penny above) | SYSTEM NEGATIVE | TF: 2M
[2026-03-17T10:42:04.732922] DDM | automated_short_order | SMA24 | President 47 | 2M | critical | DDM AUTO SHORT SMA24 [President 47] 2M | AUTO SHORT — SMA 24 at 54.30 | OHLC4 54.29 (current bar) | Close 54.26 | Hard stop: 54.31 (penny above) | SYSTEM NEGATIVE | TF: 2M
[2026-03-17T10:42:04.769034] DDM | automated_short_order | SMA26 | SVIX (211) | 2M | critical | DDM AUTO SHORT SMA26 [SVIX (211)] 2M | AUTO SHORT — SMA 26 at 54.29 | OHLC4 54.29 (current bar) | Close 54.26 | Hard stop: 54.30 (penny above) | SYSTEM NEGATIVE | TF: 2M
[2026-03-17T10:42:04.785138] DDM | automated_short_order | SMA25 | Resource Missing (404) | 2M | critical | DDM AUTO SHORT SMA25 [Resource Missing (404)] 2M | AUTO SHORT — SMA 25 at 54.30 | OHLC4 54.29 (current bar) | Close 54.26 | Hard stop: 54.31 (penny above) | SYSTEM NEGATIVE | TF: 2M
[2026-03-17T10:42:05.779877] DDM | automated_short_order | SMA10 | S&P 500 System | 3M | critical | DDM AUTO SHORT SMA10 [S&P 500 System] 3M | AUTO SHORT — SMA 10 at 54.30 | OHLC4 54.29 (prev bar) | Close 54.30 | Hard stop: 54.31 (penny above) | SYSTEM NEGATIVE | TF: 3M
[2026-03-17T10:42:05.936291] DDM | automated_short_order | SMA864 | Regression (432) | 3M | critical | DDM AUTO SHORT SMA864 [Regression (432)] 3M | AUTO SHORT — SMA 864 at 54.30 | OHLC4 54.29 (prev bar) | Close 54.30 | Hard stop: 54.31 (penny above) | SYSTEM NEGATIVE | TF: 3M
[2026-03-17T10:42:06.042335] DDM | automated_short_order | SMA47 | President 47 | 3M | critical | DDM AUTO SHORT SMA47 [President 47] 3M | AUTO SHORT — SMA 47 at 54.30 | OHLC4 54.29 (prev bar) | Close 54.30 | Hard stop: 54.31 (penny above) | SYSTEM NEGATIVE | TF: 3M
[2026-03-17T10:42:06.097297] DDM | automated_short_order | SMA844 | SVIX (211) | 3M | critical | DDM AUTO SHORT SMA844 [SVIX (211)] 3M | AUTO SHORT — SMA 844 at 54.30 | OHLC4 54.29 (prev bar) | Close 54.30 | Hard stop: 54.31 (penny above) | SYSTEM NEGATIVE | TF: 3M
[2026-03-17T10:42:07.189603] DDM | automated_short_order | SMA600 | Dow Jones System | 5M | critical | DDM AUTO SHORT SMA600 [Dow Jones System] 5M | AUTO SHORT — SMA 600 at 54.30 | OHLC4 54.29 (current bar) | Close 54.26 | Hard stop: 54.31 (penny above) | SYSTEM NEGATIVE | TF: 5M
[2026-03-17T10:42:07.213050] DDM | automated_short_order | SMA11 | ICKY WOODS (888) | 5M | critical | DDM AUTO SHORT SMA11 [ICKY WOODS (888)] 5M | AUTO SHORT — SMA 11 at 54.30 | OHLC4 54.29 (current bar) | Close 54.26 | Hard stop: 54.31 (penny above) | SYSTEM NEGATIVE | TF: 5M
[2026-03-17T10:42:07.355913] DDM | automated_short_order | SMA576 | Time (144) | 5M | critical | DDM AUTO SHORT SMA576 [Time (144)] 5M | AUTO SHORT — SMA 576 at 54.30 | OHLC4 54.29 (current bar) | Close 54.26 | Hard stop: 54.31 (penny above) | SYSTEM NEGATIVE | TF: 5M
[2026-03-17T10:42:08.760745] DDM | precision_buy_algorithm | SMA18 | Time (144) | 10M | critical | DDM PRECISION BUY SMA18 [Time (144)] 10M | PRECISION BUY — SMA 18 at 54.24 | OHLC4 54.24 (prev bar) | Close 54.31 | Hard stop: 54.23 | Drawdown 1.1% from 54.87 | TF: 10M
[2026-03-17T10:42:23.631029] DXD | automated_short_order | SMA333 | EVIL (666) | 10M | critical | DXD AUTO SHORT SMA333 [EVIL (666)] 10M | AUTO SHORT — SMA 333 at 21.36 | OHLC4 21.36 (prev bar) | Close 21.34 | Hard stop: 21.37 (penny above) | SYSTEM NEGATIVE | TF: 10M
[2026-03-17T10:42:23.836816] DXD | automated_short_order | SMA360 | 180 | 10M | critical | DXD AUTO SHORT SMA360 [180] 10M | AUTO SHORT — SMA 360 at 21.36 | OHLC4 21.36 (prev bar) | Close 21.34 | Hard stop: 21.37 (penny above) | SYSTEM NEGATIVE | TF: 10M
[2026-03-17T10:42:24.165763] DXD | automated_short_order | SMA422 | SVIX (211) | 10M | critical | DXD AUTO SHORT SMA422 [SVIX (211)] 10M | AUTO SHORT — SMA 422 at 21.36 | OHLC4 21.36 (prev bar) | Close 21.34 | Hard stop: 21.37 (penny above) | SYSTEM NEGATIVE | TF: 10M
[2026-03-17T10:42:33.468314] DOG | automated_short_order | SMA200 | S&P 500 System | 1M | critical | DOG AUTO SHORT SMA200 [S&P 500 System] 1M | AUTO SHORT — SMA 200 at 24.10 | OHLC4 24.10 (current bar) | Close 24.09 | Hard stop: 24.11 (penny above) | SYSTEM NEGATIVE | TF: 1M
[2026-03-17T10:42:33.481121] DOG | automated_short_order | SMA250 | NASDAQ System | 1M | critical | DOG AUTO SHORT SMA250 [NASDAQ System] 1M | AUTO SHORT — SMA 250 at 24.11 | OHLC4 24.10 (current bar) | Close 24.09 | Hard stop: 24.12 (penny above) | SYSTEM NEGATIVE | TF: 1M
[2026-03-17T10:42:33.589475] DOG | automated_short_order | SMA222 | LUCKY (777) | 1M | critical | DOG AUTO SHORT SMA222 [LUCKY (777)] 1M | AUTO SHORT — SMA 222 at 24.10 | OHLC4 24.10 (current bar) | Close 24.09 | Hard stop: 24.11 (penny above) | SYSTEM NEGATIVE | TF: 1M
[2026-03-17T10:42:33.669191] DOG | automated_short_order | SMA216 | Regression (432) | 1M | critical | DOG AUTO SHORT SMA216 [Regression (432)] 1M | AUTO SHORT — SMA 216 at 24.10 | OHLC4 24.10 (current bar) | Close 24.09 | Hard stop: 24.11 (penny above) | SYSTEM NEGATIVE | TF: 1M
[2026-03-17T10:42:33.890427] DOG | automated_short_order | SMA227 | President 45 | 1M | critical | DOG AUTO SHORT SMA227 [President 45] 1M | AUTO SHORT — SMA 227 at 24.10 | OHLC4 24.10 (current bar) | Close 24.09 | Hard stop: 24.11 (penny above) | SYSTEM NEGATIVE | TF: 1M
[2026-03-17T10:42:34.088021] DOG | automated_short_order | SMA228 | WTC (911) | 1M | critical | DOG AUTO SHORT SMA228 [WTC (911)] 1M | AUTO SHORT — SMA 228 at 24.10 | OHLC4 24.10 (current bar) | Close 24.09 | Hard stop: 24.11 (penny above) | SYSTEM NEGATIVE | TF: 1M
[2026-03-17T10:42:34.141398] DOG | automated_short_order | SMA211 | SVIX (211) | 1M | critical | DOG AUTO SHORT SMA211 [SVIX (211)] 1M | AUTO SHORT — SMA 211 at 24.10 | OHLC4 24.10 (current bar) | Close 24.09 | Hard stop: 24.11 (penny above) | SYSTEM NEGATIVE | TF: 1M
[2026-03-17T10:42:34.168753] DOG | automated_short_order | SMA202 | Resource Missing (404) | 1M | critical | DOG AUTO SHORT SMA202 [Resource Missing (404)] 1M | AUTO SHORT — SMA 202 at 24.10 | OHLC4 24.10 (current bar) | Close 24.09 | Hard stop: 24.11 (penny above) | SYSTEM NEGATIVE | TF: 1M
[2026-03-17T10:42:35.432123] DOG | automated_short_order | SMA100 | NASDAQ System | 2M | critical | DOG AUTO SHORT SMA100 [NASDAQ System] 2M | AUTO SHORT — SMA 100 at 24.10 | OHLC4 24.10 (current bar) | Close 24.09 | Hard stop: 24.11 (penny above) | SYSTEM NEGATIVE | TF: 2M
[2026-03-17T10:42:35.468458] DOG | automated_short_order | SMA99 | EVIL (666) | 2M | critical | DOG AUTO SHORT SMA99 [EVIL (666)] 2M | AUTO SHORT — SMA 99 at 24.10 | OHLC4 24.10 (current bar) | Close 24.09 | Hard stop: 24.11 (penny above) | SYSTEM NEGATIVE | TF: 2M
[2026-03-17T10:42:35.492872] DOG | automated_short_order | SMA111 | ICKY WOODS (888) | 2M | critical | DOG AUTO SHORT SMA111 [ICKY WOODS (888)] 2M | AUTO SHORT — SMA 111 at 24.10 | OHLC4 24.10 (current bar) | Close 24.09 | Hard stop: 24.11 (penny above) | SYSTEM NEGATIVE | TF: 2M
[2026-03-17T10:42:35.545464] DOG | automated_short_order | SMA108 | Regression (432) | 2M | critical | DOG AUTO SHORT SMA108 [Regression (432)] 2M | AUTO SHORT — SMA 108 at 24.10 | OHLC4 24.10 (current bar) | Close 24.09 | Hard stop: 24.11 (penny above) | SYSTEM NEGATIVE | TF: 2M
[2026-03-17T10:42:35.651571] DOG | automated_short_order | SMA114 | President 45 | 2M | critical | DOG AUTO SHORT SMA114 [President 45] 2M | AUTO SHORT — SMA 114 at 24.10 | OHLC4 24.10 (current bar) | Close 24.09 | Hard stop: 24.11 (penny above) | SYSTEM NEGATIVE | TF: 2M
[2026-03-17T10:42:35.747342] DOG | automated_short_order | SMA106 | SVIX (211) | 2M | critical | DOG AUTO SHORT SMA106 [SVIX (211)] 2M | AUTO SHORT — SMA 106 at 24.10 | OHLC4 24.10 (current bar) | Close 24.09 | Hard stop: 24.11 (penny above) | SYSTEM NEGATIVE | TF: 2M
[2026-03-17T10:42:35.766349] DOG | automated_short_order | SMA101 | Resource Missing (404) | 2M | critical | DOG AUTO SHORT SMA101 [Resource Missing (404)] 2M | AUTO SHORT — SMA 101 at 24.10 | OHLC4 24.10 (current bar) | Close 24.09 | Hard stop: 24.11 (penny above) | SYSTEM NEGATIVE | TF: 2M
[2026-03-17T10:42:40.332376] DOG | automated_short_order | SMA20 | NASDAQ System | 10M | critical | DOG AUTO SHORT SMA20 [NASDAQ System] 10M | AUTO SHORT — SMA 20 at 24.09 | OHLC4 24.09 (prev bar) | Close 24.07 | Hard stop: 24.10 (penny above) | SYSTEM NEGATIVE | TF: 10M
[2026-03-17T10:42:40.469910] DOG | automated_short_order | SMA19 | Waring's Problem | 10M | critical | DOG AUTO SHORT SMA19 [Waring's Problem] 10M | AUTO SHORT — SMA 19 at 24.09 | OHLC4 24.09 (prev bar) | Close 24.07 | Hard stop: 24.10 (penny above) | SYSTEM NEGATIVE | TF: 10M
[2026-03-17T10:43:11.493511] UWM | precision_buy_algorithm | SMA111 | ICKY WOODS (888) | 2M | critical | UWM PRECISION BUY SMA111 [ICKY WOODS (888)] 2M | PRECISION BUY — SMA 111 at 47.77 | OHLC4 47.77 (current bar) | Close 47.81 | Hard stop: 47.76 | Drawdown 1.2% from 48.36 | TF: 2M
[2026-03-17T10:43:11.560048] UWM | precision_buy_algorithm | SMA108 | Regression (432) | 2M | critical | UWM PRECISION BUY SMA108 [Regression (432)] 2M | PRECISION BUY — SMA 108 at 47.77 | OHLC4 47.77 (current bar) | Close 47.81 | Hard stop: 47.76 | Drawdown 1.2% from 48.36 | TF: 2M
[2026-03-17T10:43:11.746283] UWM | precision_buy_algorithm | SMA106 | SVIX (211) | 2M | critical | UWM PRECISION BUY SMA106 [SVIX (211)] 2M | PRECISION BUY — SMA 106 at 47.77 | OHLC4 47.77 (current bar) | Close 47.81 | Hard stop: 47.76 | Drawdown 1.2% from 48.36 | TF: 2M
[2026-03-17T10:43:26.843797] TNA | precision_buy_algorithm | SMA211 | SVIX (211) | 1M | critical | TNA PRECISION BUY SMA211 [SVIX (211)] 1M | PRECISION BUY — SMA 211 at 45.88 | OHLC4 45.89 (prev bar) | Close 45.99 | Hard stop: 45.87 | Drawdown 1.8% from 46.72 | TF: 1M
[2026-03-17T10:44:31.185909] SVIX | precision_buy_algorithm | SMA184 | President 46 | 2M | critical | SVIX PRECISION BUY SMA184 [President 46] 2M | PRECISION BUY — SMA 184 at 17.96 | OHLC4 17.96 (prev bar) | Close 17.97 | Hard stop: 17.95 | Drawdown 2.5% from 18.42 | TF: 2M
[2026-03-17T10:44:31.203118] SVIX | precision_buy_algorithm | SMA188 | President 47 | 2M | critical | SVIX PRECISION BUY SMA188 [President 47] 2M | PRECISION BUY — SMA 188 at 17.96 | OHLC4 17.96 (prev bar) | Close 17.97 | Hard stop: 17.95 | Drawdown 2.5% from 18.42 | TF: 2M
[2026-03-17T10:45:08.667267] SVXY | precision_buy_algorithm | SMA23 | Time (365) | 15M | critical | SVXY PRECISION BUY SMA23 [Time (365)] 15M | PRECISION BUY — SMA 23 at 48.71 | OHLC4 48.72 (current bar) | Close 48.72 | Hard stop: 48.70 | Drawdown 1.1% from 49.27 | TF: 15M
[2026-03-17T10:49:58.088625] DIA | automated_short_order | SMA27 | Regression (432) | 2M | critical | DIA AUTO SHORT SMA27 [Regression (432)] 2M | AUTO SHORT — SMA 27 at 472.57 | OHLC4 472.56 (prev bar) | Close 472.35 | Hard stop: 472.58 (penny above) | SYSTEM NEGATIVE | TF: 2M
[2026-03-17T10:49:58.266270] DIA | automated_short_order | SMA26 | SVIX (211) | 2M | critical | DIA AUTO SHORT SMA26 [SVIX (211)] 2M | AUTO SHORT — SMA 26 at 472.57 | OHLC4 472.56 (prev bar) | Close 472.35 | Hard stop: 472.58 (penny above) | SYSTEM NEGATIVE | TF: 2M
[2026-03-17T10:49:58.284034] DIA | automated_short_order | SMA25 | Resource Missing (404) | 2M | critical | DIA AUTO SHORT SMA25 [Resource Missing (404)] 2M | AUTO SHORT — SMA 25 at 472.57 | OHLC4 472.56 (prev bar) | Close 472.35 | Hard stop: 472.58 (penny above) | SYSTEM NEGATIVE | TF: 2M
[2026-03-17T10:50:23.217793] UDOW | precision_buy_algorithm | SMA333 | EVIL (666) | 15M | critical | UDOW PRECISION BUY SMA333 [EVIL (666)] 15M | PRECISION BUY — SMA 333 at 53.47 | OHLC4 53.48 (current bar) | Close 53.49 | Hard stop: 53.46 | Drawdown 1.8% from 54.44 | TF: 15M
[2026-03-17T10:50:42.385665] SDOW | automated_short_order | SMA183 | Time (365) | 30M | critical | SDOW AUTO SHORT SMA183 [Time (365)] 30M | AUTO SHORT — SMA 183 at 33.76 | OHLC4 33.76 (current bar) | Close 33.74 | Hard stop: 33.77 (penny above) | SYSTEM NEGATIVE | TF: 30M
[2026-03-17T10:50:42.464653] SDOW | automated_short_order | SMA184 | President 46 | 30M | critical | SDOW AUTO SHORT SMA184 [President 46] 30M | AUTO SHORT — SMA 184 at 33.76 | OHLC4 33.76 (current bar) | Close 33.74 | Hard stop: 33.77 (penny above) | SYSTEM NEGATIVE | TF: 30M
[2026-03-17T10:51:04.382442] DXD | automated_short_order | SMA200 | S&P 500 System | 1M | critical | DXD AUTO SHORT SMA200 [S&P 500 System] 1M | AUTO SHORT — SMA 200 at 21.38 | OHLC4 21.38 (prev bar) | Close 21.38 | Hard stop: 21.39 (penny above) | SYSTEM NEGATIVE | TF: 1M
[2026-03-17T10:51:04.839798] DXD | automated_short_order | SMA202 | Resource Missing (404) | 1M | critical | DXD AUTO SHORT SMA202 [Resource Missing (404)] 1M | AUTO SHORT — SMA 202 at 21.38 | OHLC4 21.38 (prev bar) | Close 21.38 | Hard stop: 21.39 (penny above) | SYSTEM NEGATIVE | TF: 1M
[2026-03-17T10:51:06.129484] DXD | automated_short_order | SMA100 | NASDAQ System | 2M | critical | DXD AUTO SHORT SMA100 [NASDAQ System] 2M | AUTO SHORT — SMA 100 at 21.38 | OHLC4 21.37 (prev bar) | Close 21.38 | Hard stop: 21.39 (penny above) | SYSTEM NEGATIVE | TF: 2M
[2026-03-17T10:51:06.176367] DXD | automated_short_order | SMA99 | EVIL (666) | 2M | critical | DXD AUTO SHORT SMA99 [EVIL (666)] 2M | AUTO SHORT — SMA 99 at 21.38 | OHLC4 21.37 (prev bar) | Close 21.38 | Hard stop: 21.39 (penny above) | SYSTEM NEGATIVE | TF: 2M
[2026-03-17T10:51:06.462603] DXD | automated_short_order | SMA94 | President 47 | 2M | critical | DXD AUTO SHORT SMA94 [President 47] 2M | AUTO SHORT — SMA 94 at 21.38 | OHLC4 21.37 (prev bar) | Close 21.38 | Hard stop: 21.39 (penny above) | SYSTEM NEGATIVE | TF: 2M
[2026-03-17T10:51:06.547572] DXD | automated_short_order | SMA101 | Resource Missing (404) | 2M | critical | DXD AUTO SHORT SMA101 [Resource Missing (404)] 2M | AUTO SHORT — SMA 101 at 21.38 | OHLC4 21.37 (prev bar) | Close 21.38 | Hard stop: 21.39 (penny above) | SYSTEM NEGATIVE | TF: 2M
[2026-03-17T10:51:07.785919] DXD | automated_short_order | SMA10 | S&P 500 System | 3M | critical | DXD AUTO SHORT SMA10 [S&P 500 System] 3M | AUTO SHORT — SMA 10 at 21.36 | OHLC4 21.36 (current bar) | Close 21.35 | Hard stop: 21.37 (penny above) | SYSTEM NEGATIVE | TF: 3M
[2026-03-17T10:51:07.809301] DXD | automated_short_order | SMA60 | Dow Jones System | 3M | critical | DXD AUTO SHORT SMA60 [Dow Jones System] 3M | AUTO SHORT — SMA 60 at 21.36 | OHLC4 21.36 (current bar) | Close 21.35 | Hard stop: 21.37 (penny above) | SYSTEM NEGATIVE | TF: 3M
[2026-03-17T10:51:07.852533] DXD | automated_short_order | SMA999 | EVIL (666) | 3M | critical | DXD AUTO SHORT SMA999 [EVIL (666)] 3M | AUTO SHORT — SMA 999 at 21.36 | OHLC4 21.36 (current bar) | Close 21.35 | Hard stop: 21.37 (penny above) | SYSTEM NEGATIVE | TF: 3M
[2026-03-17T10:51:07.969041] DXD | singular_point_hard_stop | SMA60 | 180 | 3M | critical | DXD HARD STOP SMA60 [180] 3M | HARD STOP — SMA 60 at 21.36 | Breach above $-0.01 | Close 21.35, High 21.37 | STATE: aso→sphs_aso | TF: 3M
[2026-03-17T10:51:08.196839] DXD | automated_short_order | SMA844 | SVIX (211) | 3M | critical | DXD AUTO SHORT SMA844 [SVIX (211)] 3M | AUTO SHORT — SMA 844 at 21.36 | OHLC4 21.36 (current bar) | Close 21.35 | Hard stop: 21.37 (penny above) | SYSTEM NEGATIVE | TF: 3M
[2026-03-17T10:51:09.453018] DXD | automated_short_order | SMA37 | Waring's Problem | 5M | critical | DXD AUTO SHORT SMA37 [Waring's Problem] 5M | AUTO SHORT — SMA 37 at 21.36 | OHLC4 21.36 (current bar) | Close 21.35 | Hard stop: 21.37 (penny above) | SYSTEM NEGATIVE | TF: 5M
[2026-03-17T10:51:11.070047] DXD | singular_point_hard_stop | SMA360 | 180 | 10M | critical | DXD HARD STOP SMA360 [180] 10M | HARD STOP — SMA 360 at 21.36 | Breach above $-0.01 | Close 21.35, High 21.37 | STATE: aso→sphs_aso | TF: 10M
[2026-03-17T10:51:11.253272] DXD | singular_point_hard_stop | SMA422 | SVIX (211) | 10M | critical | DXD HARD STOP SMA422 [SVIX (211)] 10M | HARD STOP — SMA 422 at 21.36 | Breach above $-0.01 | Close 21.35, High 21.37 | STATE: aso→sphs_aso | TF: 10M
[2026-03-17T10:51:21.393156] DOG | automated_short_order | SMA180 | 180 | 1M | critical | DOG AUTO SHORT SMA180 [180] 1M | AUTO SHORT — SMA 180 at 24.09 | OHLC4 24.09 (prev bar) | Close 24.09 | Hard stop: 24.10 (penny above) | SYSTEM NEGATIVE | TF: 1M
[2026-03-17T10:51:21.412063] DOG | automated_short_order | SMA183 | Time (365) | 1M | critical | DOG AUTO SHORT SMA183 [Time (365)] 1M | AUTO SHORT — SMA 183 at 24.09 | OHLC4 24.09 (prev bar) | Close 24.09 | Hard stop: 24.10 (penny above) | SYSTEM NEGATIVE | TF: 1M
[2026-03-17T10:51:21.484468] DOG | automated_short_order | SMA184 | President 46 | 1M | critical | DOG AUTO SHORT SMA184 [President 46] 1M | AUTO SHORT — SMA 184 at 24.09 | OHLC4 24.09 (prev bar) | Close 24.09 | Hard stop: 24.10 (penny above) | SYSTEM NEGATIVE | TF: 1M
[2026-03-17T10:51:21.502492] DOG | automated_short_order | SMA188 | President 47 | 1M | critical | DOG AUTO SHORT SMA188 [President 47] 1M | AUTO SHORT — SMA 188 at 24.09 | OHLC4 24.09 (prev bar) | Close 24.09 | Hard stop: 24.10 (penny above) | SYSTEM NEGATIVE | TF: 1M
[2026-03-17T10:51:24.240671] DOG | automated_short_order | SMA10 | S&P 500 System | 3M | critical | DOG AUTO SHORT SMA10 [S&P 500 System] 3M | AUTO SHORT — SMA 10 at 24.08 | OHLC4 24.08 (current bar) | Close 24.08 | Hard stop: 24.09 (penny above) | SYSTEM NEGATIVE | TF: 3M
[2026-03-17T10:51:24.261327] DOG | automated_short_order | SMA60 | Dow Jones System | 3M | critical | DOG AUTO SHORT SMA60 [Dow Jones System] 3M | AUTO SHORT — SMA 60 at 24.08 | OHLC4 24.08 (current bar) | Close 24.08 | Hard stop: 24.09 (penny above) | SYSTEM NEGATIVE | TF: 3M
[2026-03-17T10:51:24.292194] DOG | automated_short_order | SMA999 | EVIL (666) | 3M | critical | DOG AUTO SHORT SMA999 [EVIL (666)] 3M | AUTO SHORT — SMA 999 at 24.08 | OHLC4 24.08 (current bar) | Close 24.08 | Hard stop: 24.09 (penny above) | SYSTEM NEGATIVE | TF: 3M
[2026-03-17T10:51:24.293806] DOG | automated_short_order | SMA11 | ICKY WOODS (888) | 3M | critical | DOG AUTO SHORT SMA11 [ICKY WOODS (888)] 3M | AUTO SHORT — SMA 11 at 24.08 | OHLC4 24.08 (current bar) | Close 24.08 | Hard stop: 24.09 (penny above) | SYSTEM NEGATIVE | TF: 3M
[2026-03-17T10:51:24.311735] DOG | automated_short_order | SMA22 | LUCKY (777) | 3M | critical | DOG AUTO SHORT SMA22 [LUCKY (777)] 3M | AUTO SHORT — SMA 22 at 24.08 | OHLC4 24.08 (current bar) | Close 24.08 | Hard stop: 24.09 (penny above) | SYSTEM NEGATIVE | TF: 3M
[2026-03-17T10:51:24.352653] DOG | automated_short_order | SMA27 | Regression (432) | 3M | critical | DOG AUTO SHORT SMA27 [Regression (432)] 3M | AUTO SHORT — SMA 27 at 24.08 | OHLC4 24.08 (current bar) | Close 24.08 | Hard stop: 24.09 (penny above) | SYSTEM NEGATIVE | TF: 3M
[2026-03-17T10:51:24.387881] DOG | automated_short_order | SMA23 | Time (365) | 3M | critical | DOG AUTO SHORT SMA23 [Time (365)] 3M | AUTO SHORT — SMA 23 at 24.08 | OHLC4 24.08 (current bar) | Close 24.08 | Hard stop: 24.09 (penny above) | SYSTEM NEGATIVE | TF: 3M
[2026-03-17T10:51:24.497346] DOG | automated_short_order | SMA24 | President 47 | 3M | critical | DOG AUTO SHORT SMA24 [President 47] 3M | AUTO SHORT — SMA 24 at 24.08 | OHLC4 24.08 (current bar) | Close 24.08 | Hard stop: 24.09 (penny above) | SYSTEM NEGATIVE | TF: 3M
